density,dataset,model,slice_lr,slice_decay,agg_lr,agg_decay
0.1,rt,NeuCF,0.005,0.0001,0.002,0.001
0.1,rt,CSMF,0.01,0.01,0.008,0.0001
0.1,rt,MF,0.01,0.01,0.002,0.001
0.1,rt,GraphMF,0.01,0.0001,0.01,0.01
0.15,rt,NeuCF,0.005,0.01,0.002,0.001
0.15,rt,CSMF,0.01,0.01,0.01,0.0001
0.15,rt,MF,0.01,0.001,0.01,0.001
0.15,rt,GraphMF,0.01,0.0001,0.008,0.01
0.2,rt,NeuCF,0.005,0.001,0.005	,0.001
0.2,rt,CSMF,0.01,0.0001,0.008,0.001
0.2,rt,MF,0.01,0.01,0.008,0.01
0.2,rt,GraphMF,0.01,0.01,0.01,0.0001
0.25,rt,NeuCF,0.01,0.01,0.001,0.0001
0.25,rt,CSMF,0.01,0.001,0.005,0.0001
0.25,rt,MF,0.001,0.01,0.008,0.01
0.25,rt,GraphMF,0.01,0.01,0.008,0.0001
0.3,rt,NeuCF,0.005,0.001,0.001,0.0001
0.3,rt,CSMF,0.005,0.001,0.01,0.01
0.3,rt,MF,0.001,0.001,0.004,0.0001
0.3,rt,GraphMF,0.01,0.001,0.004,0.001
0.1,tp,NeuCF,0.005,0.001,0.002,0.01
0.1,tp,CSMF,0.01,0.01,0.005,0.001
0.1,tp,MF,0.01,0.0001,0.008,0.0001
0.1,tp,GraphMF,0.01,0.001,0.01,0.01
0.15,tp,NeuCF,0.005,0.01,0.004,0.0001
0.15,tp,CSMF,0.01,0.001,0.004,0.01
0.15,tp,MF,0.01,0.001,0.008,0.01
0.15,tp,GraphMF,0.01,0.001,0.01,0.01
0.2,tp,NeuCF,0.005,0.001,0.002,0.001
0.2,tp,CSMF,0.01,0.001,0.01,0.01
0.2,tp,MF,0.01,0.001,0.008,0.01
0.2,tp,GraphMF,0.01,0.001,0.01,0.001
0.25,tp,NeuCF,0.005,0.01,0.002,0.0001
0.25,tp,CSMF,0.005,0.0001,0.01,0.01
0.25,tp,MF,0.01,0.01,0.01,0.001
0.25,tp,GraphMF,0.01,0.0001,0.008,0.001
0.3,tp,NeuCF,0.005,0.0001,0.002,0.0001
0.3,tp,CSMF,0.01,0.001,0.008,0.001
0.3,tp,MF,0.01,0.0001,0.004,0.0001
0.3,tp,GraphMF,0.01,0.0001,0.004,0.0001
